Frame,fifo_faults,aging_faults
1,996,996
2,994,994
3,992,992
4,990,990
5,988,988
6,988,988
7,986,986
8,985,984
9,985,984
10,983,982
11,981,981
12,980,981
13,980,979
14,978,978
15,975,975
16,974,973
17,972,972
18,967,968
19,965,965
20,964,963
21,964,961
22,962,960
23,961,960
24,957,958
25,957,958
26,955,958
27,953,956
28,951,953
29,948,951
30,947,950
31,946,948
32,944,946
33,939,940
34,936,938
35,935,937
36,932,936
37,929,934
38,928,932
39,927,932
40,924,931
41,920,931
42,916,927
43,916,921
44,913,919
45,913,918
46,907,918
47,904,917
48,902,915
49,901,914
50,898,912
51,897,909
52,893,906
53,893,904
54,890,901
55,888,899
56,884,897
57,882,897
58,879,895
59,878,894
60,872,894
61,871,892
62,869,891
63,866,889
64,861,886
65,859,883
66,859,880
67,859,878
68,858,878
69,855,876
70,854,872
71,854,870
72,845,866
73,843,861
74,843,860
75,840,859
76,837,855
77,836,854
78,835,850
79,832,848
80,832,845
81,830,842
82,824,841
83,819,839
84,818,839
85,816,833
86,813,827
87,811,827
88,811,825
89,809,823
90,806,821
91,806,818
92,802,818
93,802,815
94,800,814
95,798,813
96,793,812
97,793,811
98,793,806
99,793,804
100,789,803
101,788,802
102,786,801
103,785,799
104,783,792
105,781,793
106,781,791
107,777,788
108,775,787
109,774,785
110,773,781
111,771,778
112,769,774
113,765,770
114,765,768
115,763,765
116,759,764
117,758,764
118,757,764
119,755,762
120,752,762
121,751,761
122,750,756
123,747,756
124,746,754
125,744,750
126,743,747
127,743,746
128,741,744
129,736,740
130,736,738
131,735,737
132,732,736
133,731,736
134,729,733
135,729,729
136,728,729
137,728,724
138,724,723
139,723,721
140,723,717
141,720,717
142,720,716
143,718,714
144,715,713
145,714,711
146,713,710
147,710,709
148,708,709
149,706,706
150,704,705
