Frame,fifo_faults,aging_faults
1,997,997
2,995,995
3,993,993
4,992,992
5,986,986
6,985,986
7,981,981
8,978,978
9,975,976
10,975,972
11,972,970
12,971,968
13,971,967
14,971,967
15,969,966
16,969,960
17,966,958
18,961,955
19,957,952
20,956,949
21,955,948
22,953,944
23,949,942
24,948,936
25,946,935
26,945,933
27,940,932
28,938,932
29,934,930
30,932,929
31,930,928
32,928,926
33,925,924
34,922,921
35,921,919
36,919,919
37,918,918
38,916,917
39,913,915
40,911,909
41,908,908
42,906,906
43,906,904
44,905,902
45,905,902
46,903,902
47,901,900
48,899,899
49,896,896
50,896,894
